500, 1802, 0, 0
500, 832, 1, 0
1000, 1948, 0, 0
1000, 834, 1, 0
1500, 1750, 0, 0
1500, 726, 1, 0
2000, 1662, 0, 0
2000, 722, 1, 0
2501, 1744, 0, 0
2501, 728, 1, 0
3001, 1518, 0, 0
3001, 668, 1, 0
3501, 2031, 0, 0
3501, 908, 1, 0
4000, 2032, 0, 0
4000, 832, 1, 0
4500, 1838, 0, 0
4500, 738, 1, 0
5000, 2004, 0, 0
5000, 794, 1, 0
5500, 1816, 0, 0
5500, 750, 1, 0
6001, 2154, 0, 0
6001, 848, 1, 0
6501, 1940, 0, 0
6501, 836, 1, 0
7001, 1532, 0, 0
7001, 724, 1, 0
7500, 1356, 0, 0
7500, 584, 1, 0
8001, 1536, 0, 0
8001, 688, 1, 0
8500, 1674, 0, 0
8500, 722, 1, 0
9000, 1594, 0, 0
9000, 730, 1, 0
9501, 1546, 0, 0
9501, 738, 1, 0
10001, 1826, 0, 0
10001, 752, 1, 0
10501, 1678, 0, 0
10501, 696, 1, 0
11000, 1808, 0, 0
11000, 732, 1, 0
11500, 1730, 0, 0
11500, 794, 1, 0
12000, 1832, 0, 0
12000, 744, 1, 0
12500, 1898, 0, 0
12500, 798, 1, 0
13000, 1926, 0, 0
13000, 802, 1, 0
13501, 1902, 0, 0
13501, 782, 1, 0
14001, 2071, 0, 0
14001, 820, 1, 0
14500, 1978, 0, 0
14500, 874, 1, 0
15000, 1986, 0, 0
15000, 836, 1, 0
15500, 1894, 0, 0
15500, 842, 1, 0
16000, 1982, 0, 0
16000, 826, 1, 0
16500, 2056, 0, 0
16500, 852, 1, 0
17001, 1944, 0, 0
17001, 734, 1, 0
17501, 1896, 0, 0
17501, 850, 1, 0
18001, 1860, 0, 0
18001, 858, 1, 0
18500, 2080, 0, 0
18500, 940, 1, 0
19000, 1810, 0, 0
19000, 778, 1, 0
19500, 1906, 0, 0
19500, 714, 1, 0
20000, 1850, 0, 0
20000, 740, 1, 0
20500, 1846, 0, 0
20500, 826, 1, 0
21001, 1602, 0, 0
21001, 686, 1, 0
21501, 1173, 0, 0
21501, 514, 1, 0
22001, 2135, 0, 0
22001, 954, 1, 0
22500, 1894, 0, 0
22500, 870, 1, 0
23000, 1842, 0, 0
23000, 838, 1, 0
23500, 2090, 0, 0
23500, 888, 1, 0
24000, 1980, 0, 0
24000, 806, 1, 0
24501, 2099, 0, 0
24501, 972, 1, 0
25001, 1644, 0, 0
25001, 728, 1, 0
25501, 1902, 0, 0
25501, 844, 1, 0
26000, 2076, 0, 0
26000, 952, 1, 0
26500, 2076, 0, 0
26500, 946, 1, 0
27000, 1828, 0, 0
27000, 826, 1, 0
27500, 1978, 0, 0
27500, 894, 1, 0
28000, 1882, 0, 0
28000, 908, 1, 0
28501, 2109, 0, 0
28501, 924, 1, 0
29001, 1830, 0, 0
29001, 800, 1, 0
29500, 1828, 0, 0
29500, 928, 1, 0
30000, 1846, 0, 0
30000, 798, 1, 0
30500, 1712, 0, 0
