500, 9577758, 1, 0
1000, 9121494, 1, 0
1500, 9703476, 1, 0
2000, 9334920, 1, 0
2500, 8906750, 1, 0
3001, 9693127, 1, 0
3500, 9324691, 1, 0
4000, 9213797, 1, 0
4519, 9384183, 1, 0
5000, 12139529, 1, 0
5500, 8766691, 1, 0
6000, 8584028, 1, 0
6500, 8560776, 1, 0
7000, 8771834, 1, 0
7500, 8818090, 1, 0
8000, 8071765, 1, 0
8500, 8310963, 1, 0
9000, 8554031, 1, 0
9500, 8884080, 1, 0
10000, 9858779, 1, 0
10500, 10623322, 1, 0
11000, 13384935, 1, 0
11500, 12040969, 1, 0
12000, 9074304, 1, 0
12501, 8411123, 1, 0
13000, 8147626, 1, 0
13500, 8918301, 1, 0
14000, 8965723, 1, 0
14500, 9503473, 1, 0
15000, 10121175, 1, 0
15500, 9312357, 1, 0
16000, 9744210, 1, 0
16500, 9683836, 1, 0
17000, 10187721, 1, 0
17500, 10905626, 1, 0
18000, 9068920, 1, 0
18500, 9321783, 1, 0
19000, 9185961, 1, 0
19500, 10117548, 1, 0
20000, 9669431, 1, 0
20500, 8313119, 1, 0
21000, 8480457, 1, 0
21500, 9048483, 1, 0
22000, 8942633, 1, 0
22500, 9319529, 1, 0
23000, 9564643, 1, 0
23500, 10843715, 1, 0
24000, 9463492, 1, 0
24500, 9362979, 1, 0
25000, 9586816, 1, 0
25500, 9664988, 1, 0
26000, 9277284, 1, 0
26500, 9228197, 1, 0
27000, 8165773, 1, 0
27500, 8970116, 1, 0
28000, 10019060, 1, 0
28500, 12001934, 1, 0
29000, 10174590, 1, 0
29500, 10823797, 1, 0
30000, 8968250, 1, 0
30500, 8743751, 1, 0
31000, 8259377, 1, 0
31500, 9420166, 1, 0
32000, 7941761, 1, 0
32500, 9923061, 1, 0
33000, 10896874, 1, 0
33500, 9910629, 1, 0
34000, 9926083, 1, 0
34501, 11341459, 1, 0
35000, 10816937, 1, 0
35500, 9428692, 1, 0
36000, 9591544, 1, 0
36500, 10838752, 1, 0
37000, 9619793, 1, 0
37500, 8837028, 1, 0
38000, 9899853, 1, 0
38500, 9904451, 1, 0
39000, 10071621, 1, 0
39500, 10936610, 1, 0
40000, 11104933, 1, 0
40500, 8932425, 1, 0
41000, 8842607, 1, 0
41500, 9510311, 1, 0
42000, 9093225, 1, 0
42500, 9005368, 1, 0
43000, 9813130, 1, 0
43500, 10054938, 1, 0
44000, 9124552, 1, 0
44500, 9378659, 1, 0
45000, 9551344, 1, 0
45500, 9030754, 1, 0
46000, 9006662, 1, 0
46500, 9106132, 1, 0
47000, 9680373, 1, 0
47500, 9119097, 1, 0
48000, 9705933, 1, 0
48500, 9414299, 1, 0
49000, 8350995, 1, 0
49500, 9529704, 1, 0
50000, 9647341, 1, 0
50500, 9703251, 1, 0
51000, 9696341, 1, 0
51500, 9884193, 1, 0
52103, 9439580, 1, 0
52500, 15757177, 1, 0
53002, 10708161, 1, 0
53500, 15131557, 1, 0
54000, 9875317, 1, 0
54500, 9921094, 1, 0
55000, 9478609, 1, 0
55500, 10884782, 1, 0
56000, 10829418, 1, 0
56500, 11308330, 1, 0
57000, 10340140, 1, 0
57500, 9902649, 1, 0
58000, 9503543, 1, 0
58500, 10029915, 1, 0
59000, 10256002, 1, 0
59500, 9708939, 1, 0
60000, 9357316, 1, 0
60500, 9129570, 1, 0
61000, 8028258, 1, 0
61500, 8979565, 1, 0
62000, 8779956, 1, 0
62500, 9233718, 1, 0
63000, 9163523, 1, 0
63500, 9681364, 1, 0
64000, 9010571, 1, 0
64500, 9432785, 1, 0
65000, 8612912, 1, 0
65500, 8914602, 1, 0
66000, 9731610, 1, 0
66500, 9532941, 1, 0
67000, 8805895, 1, 0
67500, 9372227, 1, 0
68000, 10197975, 1, 0
68500, 11507337, 1, 0
69000, 11528069, 1, 0
69500, 10879539, 1, 0
70000, 10246302, 1, 0
70500, 10131493, 1, 0
71000, 10878117, 1, 0
71500, 12322482, 1, 0
72000, 10840701, 1, 0
72500, 11127058, 1, 0
73000, 10064802, 1, 0
73500, 10160135, 1, 0
74025, 9754340, 1, 0
74500, 18715804, 1, 0
75000, 10049826, 1, 0
75500, 9027909, 1, 0
76000, 10558738, 1, 0
76500, 11086110, 1, 0
77000, 8820596, 1, 0
77500, 8930395, 1, 0
78000, 9314798, 1, 0
78500, 9050414, 1, 0
79000, 8815190, 1, 0
79500, 9191579, 1, 0
80000, 9381341, 1, 0
80500, 9419680, 1, 0
81001, 8477594, 1, 0
81500, 10150367, 1, 0
82000, 9275622, 1, 0
82501, 9244739, 1, 0
83000, 9551591, 1, 0
83500, 10667528, 1, 0
84000, 11448602, 1, 0
84500, 9943582, 1, 0
85000, 10159447, 1, 0
85500, 11060471, 1, 0
86000, 9836297, 1, 0
86500, 11282222, 1, 0
87000, 10009780, 1, 0
87500, 9685832, 1, 0
88000, 9292228, 1, 0
88500, 9713993, 1, 0
89000, 10716110, 1, 0
89500, 9841013, 1, 0
90000, 9018090, 1, 0
90500, 9544679, 1, 0
91000, 8939138, 1, 0
91500, 9681909, 1, 0
92000, 9526979, 1, 0
92500, 10044295, 1, 0
93000, 9211480, 1, 0
93500, 10597590, 1, 0
94000, 10568904, 1, 0
94500, 10602138, 1, 0
95000, 10304901, 1, 0
95500, 9928003, 1, 0
96000, 9440565, 1, 0
96500, 9346428, 1, 0
97000, 9888582, 1, 0
97500, 10315332, 1, 0
98000, 10864196, 1, 0
98500, 9226456, 1, 0
99000, 9183659, 1, 0
99500, 10047515, 1, 0
100000, 9854651, 1, 0
100500, 10856637, 1, 0
101000, 11657143, 1, 0
101500, 10106795, 1, 0
102000, 9919229, 1, 0
102500, 9179109, 1, 0
103000, 10643179, 1, 0
103500, 10963562, 1, 0
104000, 9934730, 1, 0
104500, 9702408, 1, 0
105000, 10323623, 1, 0
105500, 10131779, 1, 0
106000, 11393631, 1, 0
106500, 10969221, 1, 0
107000, 9914165, 1, 0
107500, 10086207, 1, 0
108000, 9961488, 1, 0
108500, 9188254, 1, 0
109000, 9911648, 1, 0
109500, 10898935, 1, 0
110000, 10022460, 1, 0
110500, 10696140, 1, 0
111000, 9626151, 1, 0
111500, 10572812, 1, 0
112000, 10240178, 1, 0
112500, 9113314, 1, 0
113000, 8648708, 1, 0
113500, 9079277, 1, 0
114000, 9368233, 1, 0
114500, 10289157, 1, 0
115001, 9710243, 1, 0
115500, 9828926, 1, 0
116000, 9869191, 1, 0
116500, 9506079, 1, 0
117000, 10282689, 1, 0
117500, 11167872, 1, 0
118000, 10689910, 1, 0
118500, 9448277, 1, 0
119000, 9692330, 1, 0
119500, 9400694, 1, 0
120000, 8860025, 1, 0
120500, 8882308, 1, 0
121000, 9133474, 1, 0
121500, 9333298, 1, 0
122001, 8673630, 1, 0
122500, 8949457, 1, 0
123000, 9915671, 1, 0
123500, 11874494, 1, 0
124000, 11450703, 1, 0
124500, 11235530, 1, 0
125000, 10989458, 1, 0
125500, 10576419, 1, 0
126000, 9957155, 1, 0
126500, 11295298, 1, 0
127000, 10294829, 1, 0
127500, 8604300, 1, 0
128000, 8602490, 1, 0
128500, 9092849, 1, 0
129000, 9554940, 1, 0
129500, 10521815, 1, 0
130000, 8782511, 1, 0
130500, 9996977, 1, 0
131000, 10016604, 1, 0
131500, 11754538, 1, 0
132000, 9669152, 1, 0
132500, 8914191, 1, 0
133000, 8627839, 1, 0
133500, 9224676, 1, 0
134000, 9707074, 1, 0
134500, 10224987, 1, 0
135000, 9884422, 1, 0
135500, 9286674, 1, 0
136000, 10021331, 1, 0
136500, 9591820, 1, 0
137000, 9793606, 1, 0
137500, 9645408, 1, 0
138000, 9472857, 1, 0
138500, 9925276, 1, 0
139000, 9883925, 1, 0
139500, 9803984, 1, 0
140000, 9427425, 1, 0
140501, 10554322, 1, 0
141000, 11022440, 1, 0
141500, 11822562, 1, 0
142150, 10779301, 1, 0
142572, 32518504, 1, 0
143000, 17470252, 1, 0
143500, 11607962, 1, 0
144000, 9892516, 1, 0
144500, 9202672, 1, 0
145000, 9901692, 1, 0
145501, 8893212, 1, 0
146001, 9220173, 1, 0
146500, 9623776, 1, 0
147000, 10156335, 1, 0
147500, 9133214, 1, 0
148000, 8844689, 1, 0
148500, 9214253, 1, 0
